date,latitude,longitude,numberofcases,comments
2016-01-20,1.358003,103.880734,1,Kovan Road (Kovan Esquire)
2016-01-20,1.3579429,103.880657,2,Kovan Road (Kovan Lodge)
2016-01-20,1.352083,103.819836,2,Kovan Road (Kovan Melody)
2016-01-20,1.352083,103.819836,1,Kovan Road (Water Villas)
2016-01-20,1.3586461,103.8767768,1,Lange Road
2016-01-20,1.352083,103.819836,8,Palm Grove Avenue (Palm Grove Condominium)
2016-01-20,1.3613224,103.8794974,1,Palm Grove Avenue
2016-01-20,1.352083,103.819836,1,Upper Serangoon Road (D'Pavilion)
2016-01-20,1.352083,103.819836,2,Upper Serangoon Road (Grand Regalia)
2016-01-20,1.3348931,103.8701028,1,Upper Serangoon Road
2016-01-20,1.3117342,103.8756637,3,Geylang Road
2016-01-20,1.3096,103.8784776,1,Guillemard Road
2016-01-20,1.3116201,103.875783,2,Lorong 4 Geylang (Wang Lodge)
2016-01-20,1.310706,103.8765502,2,Lorong 6 Geylang (Sunflower Court)
2016-01-20,1.352083,103.819836,1,Lorong 7 Geylang (Centra Residence)
2016-01-20,1.3089681,103.8774407,1,Lorong 8 Geylang (Swann Court)
2016-01-20,1.3128254,103.8763165,1,Lorong 9 Geylang (Kim Court)
2016-01-20,1.3094907,103.8761659,1,Lorong 4 Geylang
2016-01-20,1.310715,103.8766677,7,Lorong 6 Geylang
2016-01-20,1.3123871,103.876021,1,Lorong 7 Geylang
2016-01-20,1.3094005,103.8774463,11,Lorong 8 Geylang
2016-01-20,1.3128088,103.8764915,2,Lorong 9 Geylang
2016-01-20,1.3129031,103.8770757,1,Lorong 11 Geylang
2016-01-20,1.3129478,103.8777403,2,Lorong 13 Geylang
2016-01-20,1.3138252,103.8781194,2,Lorong 15 Geylang
2016-01-20,1.3171524,103.8937252,3,Sims Avenue
2016-01-20,1.3175232,103.9408108,5,Lucky Heights
2016-01-20,1.3178975,103.9395054,5,Lucky View
2016-01-20,1.316119,103.939127,1,Sennett Close
2016-01-20,1.352083,103.819836,1,Riviera Drive (Riviera Residences)
2016-01-20,1.352083,103.819836,19,Upper East Coast Road (The Summit)
2016-01-20,1.352083,103.819836,8,Upper East Coast Road (The Baycourt)
2016-01-20,1.352083,103.819836,1,Upper East Coast Road (Venezio)
2016-01-20,1.352083,103.819836,8,How Sun Drive (Sun Rosier)
2016-01-20,1.352083,103.819836,1,How Sun Rd (Townhouse Condominium)
2016-01-20,1.3447844,103.8790052,1,How Sun Drive
2016-01-20,1.3448664,103.8779348,4,How Sun Walk
2016-01-20,1.3464728,103.8785002,4,Jalan Kesoma
2016-01-20,1.3457721,103.8769881,2,Jalan Rindu
2016-01-20,1.344607,103.8803012,5,Lorong How Sun
2016-01-20,1.352083,103.819836,7,Lorong Ong Lye (Casa Rosa)
2016-01-20,1.3482609,103.8787281,1,Lorong Ong Lye
2016-01-20,1.346151,103.877899,2,Serangoon Lane
2016-01-20,1.352083,103.819836,1,Upper Paya Lebar Road (Fragrant Gardens)
2016-01-20,1.3793534,103.7724732,2,Bangkit Road (Blk 248)
2016-01-20,1.3787319,103.7733744,1,Bangkit Road (Blk 249)
2016-01-20,1.3793534,103.7724732,1,Bangkit Road (Blk 250)
2016-01-20,1.3793534,103.7724732,1,Bangkit Road (Blk 251)
2016-01-20,1.3793534,103.7724732,1,Bangkit Road (Blk 252)
2016-01-20,1.37961,103.774588,1,Bangkit Road (Blk 253)
2016-01-20,1.3793534,103.7724732,2,Bangkit Road (Blk 257)
2016-01-20,1.3793534,103.7724732,1,Bangkit Road (Blk 259A)
2016-01-20,1.3793534,103.7724732,1,Bangkit Road (Blk 270)
2016-01-20,1.3793534,103.7724732,5,Bangkit Road (Blk 273)
2016-01-20,1.352083,103.819836,19,Bangkit Road (Chestervale)
2016-01-20,1.354102,103.8741851,3,Joon Hiang Road
2016-01-20,1.3523202,103.8739753,2,Recreation Lane
2016-01-20,1.35221,103.8749385,3,Recreation Road
2016-01-20,1.351274,103.873794,2,Serangoon Central (Blk 201)
2016-01-20,1.351527,103.873665,1,Serangoon Central (Blk 202)
2016-01-20,1.352066,103.873216,2,Serangoon Central (Blk 203)
2016-01-20,1.3525133,103.8732308,7,Serangoon Central (Blk 204)
2016-01-20,1.3527879,103.8733397,3,Serangoon Central (Blk 205)
2016-01-20,1.353471,103.873335,1,Serangoon Central (Blk 206)
2016-01-20,1.354066,103.873707,2,Serangoon Central (Blk 208)
2016-01-20,1.354467,103.8742431,1,Serangoon Central (Blk 209)
2016-01-20,1.354907,103.873555,2,Serangoon Central (Blk 210)
2016-01-20,1.3536753,103.837867,1,Jalan Khamis
2016-01-20,1.3534044,103.8375321,1,Jalan Rabu
2016-01-20,1.3506649,103.8376572,1,Shunfu Road (Blk 308)
2016-01-20,1.3510064,103.837525,4,Shunfu Road (Blk 309)
2016-01-20,1.3509026,103.8384743,4,Shunfu Road (Blk 310)
2016-01-20,1.350988,103.839223,1,Shunfu Road (Blk 311)
2016-01-20,1.3513189,103.8380265,2,Shunfu Road (Blk 313)
2016-01-20,1.3519898,103.8386631,1,Shunfu Road (Blk 315)
2016-01-20,1.3516645,103.8394235,6,Shunfu Road (Blk 316)
2016-01-20,1.3528243,103.8390747,2,Shunfu Road (Blk 317)
2016-01-20,1.3518875,103.8360813,1,Upper Thomson Road (Thomson Imperial Court)
2016-01-20,1.3175755,103.9058368,1,Changi Road
2016-01-20,1.352083,103.819836,1,Changi Road (Mera East)
2016-01-20,1.352083,103.819836,1,Jalan Masjid (Bliss Residences) 
2016-01-20,1.352083,103.819836,2,Jalan Wakaff (Radix)
2016-01-20,1.3161358,103.9125192,1,Joo Chiat Avenue
2016-01-20,1.3179481,103.9137445,3,Lorong G Telok Kurau
2016-01-20,1.3170381,103.9141335,5,Lorong H Telok Kurau
2016-01-20,1.352083,103.819836,1,Lorong G Telok Kurau (East Bay Gardens)
2016-01-20,1.352083,103.819836,1,Lorong G Telok Kurau (Espira Spring)
2016-01-20,1.352083,103.819836,2,Lorong G Telok Kurau (Sunny Palms)
2016-01-20,1.352083,103.819836,1,Lorong G Telok Kurau (The Medley)
2016-01-20,1.321216,103.9112849,2,Lorong Mydin
2016-01-20,1.3201734,103.91094,1,Sims View
2016-01-20,1.3161086,103.8502139,2,Cambridge Road (Blk 41)
2016-01-20,1.3134211,103.8503082,1,Dorset Road
2016-01-20,1.3125076,103.8489281,1,Dorset Road (Blk 48)
2016-01-20,1.312476,103.85009,1,Dorset Road (Blk 49)
2016-01-20,1.313728,103.850795,2,Dorset Road (Blk 50)
2016-01-20,1.312113,103.8515819,1,Farrer Park Road (Blk 12)
2016-01-20,1.311672,103.851167,2,Farrer Park Road (Blk 13)
2016-01-20,1.3110329,103.851581,1,Farrer Park Road (Blk 15)
2016-01-20,1.3136862,103.8512945,1,Gloucester Road (Blk 9)
2016-01-20,1.308777,103.8522,1,Klang Lane (Blk 671A)
2016-01-20,1.309091,103.8527809,2,Klang Lane (Blk 672B)
2016-01-20,1.3130285,103.8536787,1,Owen Road (Blk 44)
2016-01-20,1.3130285,103.8536787,2,Owen Road (Blk 47)
2016-01-20,1.308837,103.8512616,1,Race Course Road
2016-01-20,1.352083,103.819836,1,Race Course Road (Soho 188)
2016-01-20,1.3140228,103.8496518,1,Truro Road
2016-01-20,1.3162271,103.9213051,3,Cheviot Hill
2016-01-20,1.3162269,103.9249945,2,Elite Terrace
2016-01-20,1.3189118,103.9252512,1,Fedelio Street
2016-01-20,1.314281,103.920697,1,Jedburgh Gardens
2016-01-20,1.352083,103.819836,1,Jalan Tua Kong (Park East)
2016-01-20,1.3165914,103.9197579,1,Siglap Avenue South
2016-01-20,1.3180259,103.9206618,2,Siglap Bank
2016-01-20,1.3160206,103.9194403,2,Siglap Drive
2016-01-20,1.317491,103.919961,3,Siglap Walk
2016-01-20,1.352083,103.819836,2,Siglap Road (Flamingo Valley)
2016-01-20,1.3699293,103.8700793,11,Serangoon North Avenue 1 (Blk 107)
2016-01-20,1.3699247,103.8709335,1,Serangoon North Avenue 1 (Blk 108)
2016-01-20,1.3687574,103.8703705,1,Serangoon North Avenue 1 (Blk 113)
2016-01-20,1.3688288,103.8713082,1,Serangoon North Avenue 1 (Blk 114)
2016-01-20,1.3681605,103.8705868,1,Serangoon North Avenue 1 (Blk 115)
2016-01-20,1.3679402,103.8707246,1,Serangoon North Avenue 1 (Blk 117)
2016-01-20,1.3699889,103.8725304,1,Serangoon North Avenue 1 (Blk 153)
2016-01-20,1.3140819,103.8582214,2,Beatty Road
2016-01-20,1.307093,103.851957,2,Serangoon Road
2016-01-20,1.312968,103.8584371,2,Sturdee Road
2016-01-20,1.3132789,103.8579597,8,Sturdee Road (Kerrisdale)
2016-01-20,1.352083,103.819836,2,Sturdee Road North (Sturdee View)
2016-01-20,1.3218372,103.8595704,2,McNair Road (Blk 108B)
2016-01-20,1.320063,103.858517,1,McNair Road (Blk 120)
2016-01-20,1.3188102,103.8570053,1,McNair Road (Blk 122)
2016-01-20,1.3183093,103.8565364,1,McNair Road (Blk 123)
2016-01-20,1.320063,103.858517,9,McNair Road
2016-01-20,1.320827,103.857584,2,Towner Road
2016-01-20,1.3264771,103.9440356,1,New Upper Changi Road (Blk 52)
2016-01-20,1.3264771,103.9440356,1,New Upper Changi Road (Blk 53)
2016-01-20,1.3248841,103.9425366,3,New Upper Changi Road (Blk 54)
2016-01-20,1.3264771,103.9440356,9,New Upper Changi Road (Blk 55)
2016-01-20,1.3242366,103.9416113,1,New Upper Changi Road (Blk 57)
2016-01-20,1.3233453,103.9400189,1,New Upper Changi Road (Blk 62)
2016-01-20,1.3117342,103.8756637,1,Geylang Road
2016-01-20,1.352083,103.819836,1,Geylang Road (Le Regal)
2016-01-20,1.311869,103.8783656,2,Lorong 12 Geylang
2016-01-20,1.3120335,103.8782086,1,Lorong 12 Geylang (Paddy Green)
2016-01-20,1.3117517,103.8784957,2,Lorong 12 Geylang (Summer View)
2016-01-20,1.3113118,103.8791529,1,Lorong 14 Geylang
2016-01-20,1.310337,103.8792887,2,Lorong 14 Geylang (Wing Fong Mansion)
2016-01-20,1.310902,103.8799478,4,Lorong 16 Geylang
2016-01-20,1.352083,103.819836,1,Lorong 16 Geylang (Canberlin Apartments)
2016-01-20,1.3489346,103.8634684,1,Chiltern Drive
2016-01-20,1.352083,103.819836,2,Serangoon Avenue 3 (Amaranda Gardens)
2016-01-20,1.352083,103.819836,6,Serangoon Avenue 3 (Chiltern Park Condominium)
2016-01-20,1.352083,103.819836,3,Serangoon Avenue 3 (The Scala)
2016-01-20,1.352083,103.819836,2,Serangoon Avenue 3 (The Springbloom)
2016-01-20,1.352083,103.819836,10,Mei Hwan Drive (Goldenhill Park Condominium)
2016-01-20,1.3536933,103.8610208,4,Mei Hwan Drive
2016-01-20,1.31433,103.9200577,7,Bowmont Gardens
2016-01-20,1.314281,103.920697,6,Jedburgh Gardens
2016-01-20,1.3117342,103.8756637,2,Geylang Road
2016-01-20,1.3109173,103.8840484,2,Lorong 24A Geylang
2016-01-20,1.352083,103.819836,1,Lorong 26 Geylang (Blossom View)
2016-01-20,1.3124158,103.8847425,1,Lorong 26 Geylang (Geylang Mansions)
2016-01-20,1.31215,103.8846,1,Lorong 26 Geylang (Guilin Court)
2016-01-20,1.3146681,103.8841387,1,Lorong 27 Geylang (The Alcove)
2016-01-20,1.352083,103.819836,2,Lorong 27A Geylang (Sims Green)
2016-01-20,1.352083,103.819836,3,Lorong 28 Geylang (Atrium Residences)
2016-01-20,1.306385,103.857933,1,Jalan Berseh (Blk 25)
2016-01-20,1.3086167,103.857297,1,Jalan Besar
2016-01-20,1.3060178,103.8572692,1,Kelantan Road (Blk 28)
2016-01-20,1.3085482,103.855095,1,Rowell Road
2016-01-20,1.3077762,103.8561577,1,Rowell Road (Blk 639)
2016-01-20,1.3085482,103.855095,2,Rowell Road (Blk 640)
2016-01-20,1.3077889,103.8561662,1,Rowell Road (Blk 642)
2016-01-20,1.3089385,103.8562265,1,Syed Alwi Road
2016-01-20,1.3058366,103.8549056,1,Veerasamy Road (Blk 633)
2016-01-20,1.3067255,103.8552195,1,Veerasamy Road (Blk 635)
2016-01-20,1.3311249,103.9355457,1,Bedok North Road (Blk 76)
2016-01-20,1.3311249,103.9355457,1,Bedok North Road (Blk 81)
2016-01-20,1.3288682,103.9328919,1,Bedok North Road (Blk 124)
2016-01-20,1.3288682,103.9328919,2,Bedok North Road (Blk 181)
2016-01-20,1.3288682,103.9328919,1,Bedok North Road (Blk 183)
2016-01-20,1.3288682,103.9328919,3,Bedok North Road (Blk 185)
2016-01-20,1.352083,103.819836,1,Tanah Merah Kechil Road (The Tanamera)
2016-01-20,1.3183149,103.945449,1,Bedok South Avenue 3 (Blk 156)
2016-01-20,1.318719,103.945177,1,Bedok South Avenue 3 (Blk 158)
2016-01-20,1.3214725,103.944356,1,Bedok South Avenue 3 (Blk 299)
2016-01-20,1.320228,103.935387,3,Bedok South Road (Bedok Court)
2016-01-20,1.3204493,103.9469267,1,Bedok South Road (Blk 165)
2016-01-20,1.3203467,103.9377262,3,Bedok South Road (Blk 170)
2016-01-20,1.320005,103.866809,1,Bendemeer Road (Blk 38A)
2016-01-20,1.32132,103.8667509,1,Bendemeer Road (Blk 38D)
2016-01-20,1.320161,103.866388,1,Bendemeer Road (Blk 39A)
2016-01-20,1.32115,103.865792,1,Bendemeer Road (Blk 43)
2016-01-20,1.3222487,103.8663206,1,Bendemeer Road (Blk 44)
2016-01-20,1.3234308,103.8668042,3,Bendemeer Road (Blk 47)
2016-01-20,1.324448,103.866396,2,Whampoa South (Blk 49)
2016-01-20,1.3500963,103.935336,2,Tampines Street 82 (Blk 832)
2016-01-20,1.3508151,103.9353434,2,Tampines Street 82 (Blk 838)
2016-01-20,1.3510826,103.9356533,1,Tampines Street 82 (Blk 840)
2016-01-20,1.3517954,103.9358119,2,Tampines Street 82 (Blk 842)
2016-01-20,1.3516113,103.9365728,2,Tampines Street 82 (Blk 850)
2016-01-20,1.3529801,103.9366504,1,Tampines Street 82 (Blk 854)
2016-01-20,1.437529,103.800409,1,Woodlands Ring Road (Blk 646)
2016-01-20,1.436545,103.799443,1,Woodlands Ring Road (Blk 658)
2016-01-20,1.435452,103.799352,2,Woodlands Ring Road (Blk 660)
2016-01-20,1.435344,103.798614,1,Woodlands Ring Road (Blk 661)
2016-01-20,1.436228,103.798151,1,Woodlands Ring Road (Blk 663)
2016-01-20,1.436343,103.79786,4,Woodlands Ring Road (Blk 664)
2016-01-20,1.3377726,103.6912235,3,Yunnan Drive 1
2016-01-20,1.3373258,103.6906741,3,Yunnan Road
2016-01-20,1.338748,103.691307,3,Yunnan Walk 1
2016-01-20,1.338315,103.690763,1,Yunnan Walk 3
2016-01-20,1.349532,103.861224,6,Chuan Close
2016-01-20,1.346532,103.862191,2,Cotswold Close
2016-01-20,1.3489346,103.8634684,1,Chiltern Drive
2016-01-20,1.4370059,103.8275255,1,Jalan Cherpen
2016-01-20,1.4380608,103.8274023,1,Jalan Hikayat
2016-01-20,1.4413896,103.8267765,4,Jalan Kemuning
2016-01-20,1.4624517,103.8382386,3,Sembawang Road
2016-01-20,1.352083,103.819836,1,Joo Chiat Terrace (Celestia)
2016-01-20,1.352083,103.819836,1,Joo Chiat Terrace (One Eighties Residences)
2016-01-20,1.3140871,103.9044073,1,Joo Chiat Place (Joo Chiat Mansions)
2016-01-20,1.352083,103.819836,1,Joo Chiat Place (Flora East)
2016-01-20,1.3134583,103.9015915,2,Joo Chiat Place
2016-01-20,1.3148446,103.902914,3,Joo Chiat Terrace
2016-01-20,1.3515762,103.9326168,2,Tampines Street 83 (Blk 884)
2016-01-20,1.3510301,103.9321182,1,Tampines Street 83 (Blk 886)
2016-01-20,1.3527154,103.9318463,3,Tampines Street 84 (Blk 875)
2016-01-20,1.3521961,103.9330246,2,Tampines Street 84 (Blk 881)
2016-01-20,1.351868,103.932798,1,Tampines Street 84 (Blk 883)
2016-01-20,1.301963,103.893505,7,Bournemouth Road
2016-01-20,1.3034559,103.8845818,1,Mountbatten Road
2016-01-20,1.307345,103.860105,1,French Road (Blk 802)
2016-01-20,1.3076854,103.8598963,1,King Georges Avenue (Blk 7)
2016-01-20,1.3104449,103.8619406,1,King Georges Avenue (Blk 805)
2016-01-20,1.3090602,103.8608216,2,King Georges Avenue (Blk 806)
2016-01-20,1.3104449,103.8619406,1,King Georges Avenue (Blk 807)
2016-01-20,1.3078434,103.8591488,2,Kitchener Road (Blk 2)
2016-01-20,1.4374897,103.7923736,1,Woodlands Drive 50 (Blk 892B)
2016-01-20,1.4168555,103.7546786,1,Woodlands Street 81 (Blk 824)
2016-01-20,1.4170254,103.7546775,6,Woodlands Street 81 (Blk 825)
2016-01-20,1.4262147,103.8321137,1,Yishun Ring Road (Blk 853)
2016-01-20,1.4262147,103.8321137,1,Yishun Ring Road (Blk 855)
2016-01-20,1.41596,103.83677,5,Yishun Street 81 (Blk 852)
2016-01-20,1.414819,103.836184,1,Yishun Street 81 (Blk 875)
2016-01-20,1.3808071,103.8798962,1,Buangkok Crescent (Blk 980C)
2016-01-20,1.3808071,103.8798962,1,Buangkok Crescent (Blk 981A)
2016-01-20,1.3808071,103.8798962,1,Buangkok Crescent (Blk 985A)
2016-01-20,1.3808071,103.8798962,1,Buangkok Crescent (Blk 985B)
