Year,WW,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,LocationId
2016,29,11.94285714,NULL,NULL,NULL,28.64285714,33,25.44285714,8.785714286,42.05714286,6
2016,30,14.4,NULL,NULL,NULL,27.52857143,32.45714286,24.18571429,7.357142857,40.11428571,6
2016,31,8.314285714,NULL,NULL,NULL,28.1,31.9,24.91428571,8.028571429,34.14285714,6
2016,32,2.628571429,NULL,NULL,NULL,29.1,33.52857143,25.7,10.8,38.57142857,6
2016,33,2.028571429,NULL,NULL,NULL,30.07142857,34.21428571,26.82857143,9.214285714,36.31428571,6
2016,34,3.114285714,NULL,NULL,NULL,30.01428571,34.54285714,26.18571429,12.38571429,39.65714286,6
2016,35,7,NULL,NULL,NULL,29.62857143,33.64285714,26.38571429,9.657142857,39.9,6
2016,36,1.25,NULL,NULL,NULL,29.025,33.125,26.275,9.275,37.075,6
2016,1,17.4,10.5,14.1,16.2,NULL,NULL,NULL,NULL,NULL,7
2016,2,1.714285714,0.628571429,0.885714286,1.085714286,NULL,NULL,NULL,NULL,NULL,7
2016,3,2.457142857,2.314285714,2.314285714,2.4,NULL,NULL,NULL,NULL,NULL,7
2016,4,3.6,2.542857143,3.285714286,3.571428571,NULL,NULL,NULL,NULL,NULL,7
2016,5,1.285714286,0.628571429,0.657142857,0.771428571,NULL,NULL,NULL,NULL,NULL,7
2016,6,5.771428571,3.942857143,4.085714286,4.142857143,NULL,NULL,NULL,NULL,NULL,7
2016,7,5.171428571,3,3.428571429,3.657142857,NULL,NULL,NULL,NULL,NULL,7
2016,8,10.88571429,2.142857143,3.314285714,4.885714286,NULL,NULL,NULL,NULL,NULL,7
2016,9,6.4,3.228571429,3.771428571,5.085714286,NULL,NULL,NULL,NULL,NULL,7
2016,10,0.057142857,0.057142857,0.057142857,0.057142857,NULL,NULL,NULL,NULL,NULL,7
2016,11,0,0,0,0,NULL,NULL,NULL,NULL,NULL,7
2016,12,0.514285714,0.342857143,0.371428571,0.371428571,NULL,NULL,NULL,NULL,NULL,7
2016,13,1.2,0.885714286,1.028571429,1.085714286,NULL,NULL,NULL,NULL,NULL,7
2016,14,1.085714286,1.085714286,1.085714286,1.085714286,NULL,NULL,NULL,NULL,NULL,7
2016,15,1.942857143,1.714285714,1.828571429,1.942857143,NULL,NULL,NULL,NULL,NULL,7
2016,16,3.228571429,1.8,2.571428571,3.171428571,NULL,NULL,NULL,NULL,NULL,7
2016,17,0.685714286,0.628571429,0.657142857,0.685714286,NULL,NULL,NULL,NULL,NULL,7
2016,18,7.114285714,5.771428571,6.2,6.228571429,NULL,NULL,NULL,NULL,NULL,7
2016,19,0.085714286,0.085714286,0.085714286,0.085714286,NULL,NULL,NULL,NULL,NULL,7
2016,20,5.571428571,4.857142857,5.057142857,5.514285714,NULL,NULL,NULL,NULL,NULL,7
2016,21,7.8,5.6,6.514285714,7.657142857,NULL,NULL,NULL,NULL,NULL,7
2016,22,7.685714286,5.257142857,6.057142857,7.2,NULL,NULL,NULL,NULL,NULL,7
2016,23,0.542857143,0.2,0.228571429,0.314285714,NULL,NULL,NULL,NULL,NULL,7
2016,24,2.628571429,1.485714286,2.228571429,2.514285714,NULL,NULL,NULL,NULL,NULL,7
2016,25,11.2,8.76,10.92,11.2,NULL,NULL,NULL,NULL,NULL,7
2016,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7
2016,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7
2016,28,0,0,0,0,NULL,NULL,NULL,NULL,NULL,7
2016,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7
2016,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7
