WW,denguecases,AveUVIndex,MinUVIndex,MaxUVIndex,PSI,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,Max_Humidity_Percentage, Mean_Humidity_Percentage, Min_Humidity_Percentage,regionId
25,18,3,0,6,43.4702381,8.615384615,5.684615385,7.323076923,7.946153846,28.68571429,30.95,26.07142857,9.742857143,38.41428571,93.42857143,80.28571429,61.42857143,2
26,21,2,0,5,52.99404762,4.685714286,1.657142857,2.40952381,3.466666667,28.75714286,31.37857143,26.35,9.521428571,33.68571429,92,76.57142857,57,2
27,27,3,0,6,50.4047619,0.085714286,0.057142857,0.066666667,0.066666667,30.05714286,32.21428571,28.45,10.00714286,25.22142857,86.85714286,73,53.57142857,2
28,47,3,0,7,50.03571429,0.827272727,0.509090909,0.554545455,0.763636364,30.08571429,32.72857143,27.89285714,10.44285714,31.83571429,86.14285714,72.71428571,51.71428571,2
29,66,2,0,5,48.09523809,4.295238095,2.523809524,3.628571429,4.161904762,28.97142857,31.45714286,26.55,9.921428571,36.17857143,89.71428571,77.71428571,58.42857143,2
30,66,2,0,6,54.00595238,15.46190476,7.304761905,9.861904762,11.9047619,27.7,30.64285714,24.75,10.45,42.1,96.85714286,82.57142857,61.28571429,2
31,42,3,0,6,48.33333333,4.752380952,3.214285714,4,4.10952381,28.42857143,30.99285714,25.92142857,10.10714286,36.79285714,90.42857143,76.85714286,59.14285714,2
32,42,3,0,7,52.94047619,2.826086957,2.465217391,2.604347826,2.704347826,28.77857143,31.19285714,26.12857143,12,39.27142857,88.42857143,75.42857143,54.57142857,2
33,25,3,0,7,57.58333333,1.310714286,1.310714286,1.310714286,1.310714286,29.74285714,31.89285714,27.87857143,11.59285714,32.22857143,86.85714286,73.28571429,53.85714286,2
34,32,3,0,8,48.26785714,2.484,1.676,2.132,2.328,29.62142857,32.03571429,27.36428571,12.95714286,34.67142857,86.85714286,72.57142857,52.85714286,2
35,47,2,0,6,57.76785714,6.816,4.548,5.864,6.576,29.08571429,31.28571429,26.14285714,13.60714286,37.85714286,92.28571429,73.85714286,51.57142857,2
36,NULL,2,0,5,62.875,2.866666667,2.16,2.48,2.64,28.9625,31.625,26.1125,10.4,40,92.57142857,77,56.42857143,2
37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88.28571429,77.14285714,57.42857143,2
38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,76.42857143,56.57142857,2
39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,72.42857143,45.85714286,2
