Date,Year,WW,Month,UV_Index,RegionId
4/14/2016,2016,16,4,5,100
4/14/2016,2016,16,4,2,100
4/14/2016,2016,16,4,3,100
4/14/2016,2016,16,4,2,100
4/14/2016,2016,16,4,1,100
4/14/2016,2016,16,4,0,100
4/14/2016,2016,16,4,0,100
4/14/2016,2016,16,4,0,100
4/13/2016,2016,16,4,2,100
4/13/2016,2016,16,4,3,100
4/13/2016,2016,16,4,4,100
4/13/2016,2016,16,4,6,100
4/13/2016,2016,16,4,5,100
4/13/2016,2016,16,4,5,100
4/13/2016,2016,16,4,4,100
4/13/2016,2016,16,4,2,100
4/13/2016,2016,16,4,1,100
4/13/2016,2016,16,4,0,100
4/13/2016,2016,16,4,0,100
4/12/2016,2016,16,4,-1,100
4/12/2016,2016,16,4,-1,100
4/12/2016,2016,16,4,3,100
4/12/2016,2016,16,4,5,100
4/12/2016,2016,16,4,6,100
4/12/2016,2016,16,4,4,100
4/12/2016,2016,16,4,1,100
4/12/2016,2016,16,4,0,100
4/12/2016,2016,16,4,0,100
4/12/2016,2016,16,4,0,100
4/12/2016,2016,16,4,0,100
4/23/2016,2016,17,4,3,100
4/23/2016,2016,17,4,5,100
4/23/2016,2016,17,4,6,100
4/23/2016,2016,17,4,8,100
4/23/2016,2016,17,4,6,100
4/23/2016,2016,17,4,4,100
4/23/2016,2016,17,4,2,100
4/23/2016,2016,17,4,1,100
4/23/2016,2016,17,4,0,100
4/23/2016,2016,17,4,0,100
4/22/2016,2016,17,4,0,100
4/22/2016,2016,17,4,1,100
4/22/2016,2016,17,4,3,100
4/22/2016,2016,17,4,6,100
4/22/2016,2016,17,4,7,100
4/22/2016,2016,17,4,6,100
4/22/2016,2016,17,4,5,100
4/22/2016,2016,17,4,2,100
4/22/2016,2016,17,4,1,100
4/22/2016,2016,17,4,0,100
4/22/2016,2016,17,4,0,100
4/21/2016,2016,17,4,9,100
4/21/2016,2016,17,4,7,100
4/21/2016,2016,17,4,5,100
4/21/2016,2016,17,4,3,100
4/21/2016,2016,17,4,1,100
4/21/2016,2016,17,4,0,100
4/21/2016,2016,17,4,0,100
4/20/2016,2016,17,4,0,100
4/20/2016,2016,17,4,1,100
4/20/2016,2016,17,4,2,100
4/20/2016,2016,17,4,2,100
4/20/2016,2016,17,4,7,100
4/20/2016,2016,17,4,8,100
4/20/2016,2016,17,4,5,100
4/20/2016,2016,17,4,3,100
4/20/2016,2016,17,4,0,100
4/20/2016,2016,17,4,0,100
4/20/2016,2016,17,4,0,100
4/19/2016,2016,17,4,3,100
4/19/2016,2016,17,4,6,100
4/19/2016,2016,17,4,8,100
4/19/2016,2016,17,4,9,100
4/19/2016,2016,17,4,8,100
4/19/2016,2016,17,4,8,100
4/19/2016,2016,17,4,4,100
4/19/2016,2016,17,4,3,100
4/19/2016,2016,17,4,1,100
4/19/2016,2016,17,4,0,100
4/19/2016,2016,17,4,0,100
4/18/2016,2016,17,4,3,100
4/18/2016,2016,17,4,5,100
4/18/2016,2016,17,4,7,100
4/18/2016,2016,17,4,8,100
4/18/2016,2016,17,4,9,100
4/18/2016,2016,17,4,7,100
4/18/2016,2016,17,4,5,100
4/18/2016,2016,17,4,2,100
4/18/2016,2016,17,4,1,100
4/18/2016,2016,17,4,0,100
4/18/2016,2016,17,4,0,100
4/17/2016,2016,17,4,3,100
4/17/2016,2016,17,4,3,100
4/17/2016,2016,17,4,7,100
4/17/2016,2016,17,4,9,100
4/17/2016,2016,17,4,8,100
4/17/2016,2016,17,4,7,100
4/17/2016,2016,17,4,5,100
4/17/2016,2016,17,4,3,100
4/17/2016,2016,17,4,1,100
4/17/2016,2016,17,4,0,100
4/17/2016,2016,17,4,0,100
4/30/2016,2016,18,4,1,100
4/30/2016,2016,18,4,1,100
4/30/2016,2016,18,4,0,100
4/30/2016,2016,18,4,6,100
4/30/2016,2016,18,4,8,100
4/30/2016,2016,18,4,7,100
4/30/2016,2016,18,4,5,100
4/30/2016,2016,18,4,2,100
4/30/2016,2016,18,4,1,100
4/30/2016,2016,18,4,0,100
4/30/2016,2016,18,4,0,100
4/29/2016,2016,18,4,2,100
4/29/2016,2016,18,4,1,100
4/29/2016,2016,18,4,0,100
4/29/2016,2016,18,4,6,100
4/29/2016,2016,18,4,4,100
4/29/2016,2016,18,4,5,100
4/29/2016,2016,18,4,5,100
4/29/2016,2016,18,4,3,100
4/29/2016,2016,18,4,1,100
4/29/2016,2016,18,4,0,100
4/29/2016,2016,18,4,0,100
4/28/2016,2016,18,4,1,100
4/28/2016,2016,18,4,2,100
4/28/2016,2016,18,4,1,100
4/28/2016,2016,18,4,2,100
4/28/2016,2016,18,4,6,100
4/28/2016,2016,18,4,5,100
4/28/2016,2016,18,4,5,100
4/28/2016,2016,18,4,-1,100
4/28/2016,2016,18,4,0,100
4/28/2016,2016,18,4,0,100
4/28/2016,2016,18,4,0,100
4/27/2016,2016,18,4,0,100
4/27/2016,2016,18,4,5,100
4/27/2016,2016,18,4,4,100
4/27/2016,2016,18,4,-1,100
4/27/2016,2016,18,4,-1,100
4/27/2016,2016,18,4,-1,100
4/27/2016,2016,18,4,-1,100
4/27/2016,2016,18,4,-1,100
4/27/2016,2016,18,4,1,100
4/27/2016,2016,18,4,0,100
4/27/2016,2016,18,4,0,100
4/26/2016,2016,18,4,1,100
4/26/2016,2016,18,4,2,100
4/26/2016,2016,18,4,5,100
4/26/2016,2016,18,4,6,100
4/26/2016,2016,18,4,5,100
4/26/2016,2016,18,4,4,100
4/26/2016,2016,18,4,5,100
4/26/2016,2016,18,4,2,100
4/26/2016,2016,18,4,1,100
4/26/2016,2016,18,4,0,100
4/26/2016,2016,18,4,0,100
4/25/2016,2016,18,4,1,100
4/25/2016,2016,18,4,3,100
4/25/2016,2016,18,4,3,100
4/25/2016,2016,18,4,1,100
4/25/2016,2016,18,4,4,100
4/25/2016,2016,18,4,4,100
4/25/2016,2016,18,4,5,100
4/25/2016,2016,18,4,3,100
4/25/2016,2016,18,4,1,100
4/25/2016,2016,18,4,0,100
4/25/2016,2016,18,4,0,100
5/7/2016,2016,19,5,7,100
5/7/2016,2016,19,5,7,100
5/7/2016,2016,19,5,6,100
5/7/2016,2016,19,5,5,100
5/7/2016,2016,19,5,2,100
5/7/2016,2016,19,5,1,100
5/7/2016,2016,19,5,0,100
5/7/2016,2016,19,5,0,100
5/6/2016,2016,19,5,1,100
5/6/2016,2016,19,5,1,100
5/6/2016,2016,19,5,3,100
5/6/2016,2016,19,5,4,100
5/6/2016,2016,19,5,9,100
5/6/2016,2016,19,5,8,100
5/6/2016,2016,19,5,5,100
5/6/2016,2016,19,5,2,100
5/6/2016,2016,19,5,1,100
5/6/2016,2016,19,5,0,100
5/6/2016,2016,19,5,0,100
5/5/2016,2016,19,5,1,100
5/5/2016,2016,19,5,3,100
5/5/2016,2016,19,5,4,100
5/5/2016,2016,19,5,3,100
5/5/2016,2016,19,5,6,100
5/5/2016,2016,19,5,8,100
5/5/2016,2016,19,5,5,100
5/5/2016,2016,19,5,3,100
5/5/2016,2016,19,5,1,100
5/5/2016,2016,19,5,0,100
5/5/2016,2016,19,5,0,100
5/4/2016,2016,19,5,3,100
5/4/2016,2016,19,5,4,100
5/4/2016,2016,19,5,7,100
5/4/2016,2016,19,5,8,100
5/4/2016,2016,19,5,9,100
5/4/2016,2016,19,5,8,100
5/4/2016,2016,19,5,6,100
5/4/2016,2016,19,5,3,100
5/4/2016,2016,19,5,1,100
5/4/2016,2016,19,5,0,100
5/4/2016,2016,19,5,0,100
5/3/2016,2016,19,5,1,100
5/3/2016,2016,19,5,2,100
5/3/2016,2016,19,5,7,100
5/3/2016,2016,19,5,7,100
5/3/2016,2016,19,5,7,100
5/3/2016,2016,19,5,7,100
5/3/2016,2016,19,5,5,100
5/3/2016,2016,19,5,3,100
5/3/2016,2016,19,5,1,100
5/3/2016,2016,19,5,0,100
5/3/2016,2016,19,5,0,100
5/2/2016,2016,19,5,1,100
5/2/2016,2016,19,5,2,100
5/2/2016,2016,19,5,3,100
5/2/2016,2016,19,5,6,100
5/2/2016,2016,19,5,8,100
5/2/2016,2016,19,5,6,100
5/2/2016,2016,19,5,4,100
5/2/2016,2016,19,5,2,100
5/2/2016,2016,19,5,0,100
5/2/2016,2016,19,5,0,100
5/2/2016,2016,19,5,0,100
5/1/2016,2016,19,5,3,100
5/1/2016,2016,19,5,5,100
5/1/2016,2016,19,5,5,100
5/1/2016,2016,19,5,7,100
5/1/2016,2016,19,5,7,100
5/1/2016,2016,19,5,6,100
5/1/2016,2016,19,5,5,100
5/1/2016,2016,19,5,3,100
5/1/2016,2016,19,5,1,100
5/1/2016,2016,19,5,0,100
5/1/2016,2016,19,5,0,100
5/14/2016,2016,20,5,0,100
5/14/2016,2016,20,5,0,100
5/14/2016,2016,20,5,0,100
5/14/2016,2016,20,5,1,100
5/14/2016,2016,20,5,5,100
5/14/2016,2016,20,5,3,100
5/14/2016,2016,20,5,3,100
5/14/2016,2016,20,5,2,100
5/14/2016,2016,20,5,1,100
5/14/2016,2016,20,5,0,100
5/14/2016,2016,20,5,0,100
5/13/2016,2016,20,5,3,100
5/13/2016,2016,20,5,4,100
5/13/2016,2016,20,5,4,100
5/13/2016,2016,20,5,3,100
5/13/2016,2016,20,5,2,100
5/13/2016,2016,20,5,2,100
5/13/2016,2016,20,5,2,100
5/13/2016,2016,20,5,1,100
5/13/2016,2016,20,5,1,100
5/13/2016,2016,20,5,0,100
5/13/2016,2016,20,5,0,100
5/12/2016,2016,20,5,1,100
5/12/2016,2016,20,5,4,100
5/12/2016,2016,20,5,4,100
5/12/2016,2016,20,5,5,100
5/12/2016,2016,20,5,8,100
5/12/2016,2016,20,5,7,100
5/12/2016,2016,20,5,5,100
5/12/2016,2016,20,5,3,100
5/12/2016,2016,20,5,1,100
5/12/2016,2016,20,5,0,100
5/12/2016,2016,20,5,0,100
5/11/2016,2016,20,5,0,100
5/11/2016,2016,20,5,2,100
5/11/2016,2016,20,5,3,100
5/11/2016,2016,20,5,4,100
5/11/2016,2016,20,5,5,100
5/11/2016,2016,20,5,4,100
5/11/2016,2016,20,5,4,100
5/11/2016,2016,20,5,3,100
5/11/2016,2016,20,5,1,100
5/11/2016,2016,20,5,0,100
5/11/2016,2016,20,5,0,100
5/10/2016,2016,20,5,1,100
5/10/2016,2016,20,5,3,100
5/10/2016,2016,20,5,5,100
5/10/2016,2016,20,5,8,100
5/10/2016,2016,20,5,9,100
5/10/2016,2016,20,5,7,100
5/10/2016,2016,20,5,5,100
5/10/2016,2016,20,5,3,100
5/10/2016,2016,20,5,1,100
5/10/2016,2016,20,5,0,100
5/10/2016,2016,20,5,0,100
5/9/2016,2016,20,5,1,100
5/9/2016,2016,20,5,3,100
5/9/2016,2016,20,5,6,100
5/9/2016,2016,20,5,6,100
5/9/2016,2016,20,5,8,100
5/9/2016,2016,20,5,7,100
5/9/2016,2016,20,5,4,100
5/9/2016,2016,20,5,2,100
5/9/2016,2016,20,5,1,100
5/9/2016,2016,20,5,0,100
5/9/2016,2016,20,5,0,100
5/8/2016,2016,20,5,1,100
5/8/2016,2016,20,5,4,100
5/8/2016,2016,20,5,6,100
5/8/2016,2016,20,5,8,100
5/8/2016,2016,20,5,8,100
5/8/2016,2016,20,5,7,100
5/8/2016,2016,20,5,5,100
5/8/2016,2016,20,5,3,100
5/8/2016,2016,20,5,1,100
5/8/2016,2016,20,5,0,100
5/8/2016,2016,20,5,0,100
5/21/2016,2016,21,5,1,100
5/21/2016,2016,21,5,2,100
5/21/2016,2016,21,5,2,100
5/21/2016,2016,21,5,4,100
5/21/2016,2016,21,5,3,100
5/21/2016,2016,21,5,2,100
5/21/2016,2016,21,5,3,100
5/21/2016,2016,21,5,3,100
5/21/2016,2016,21,5,1,100
5/21/2016,2016,21,5,0,100
5/21/2016,2016,21,5,0,100
5/20/2016,2016,21,5,1,100
5/20/2016,2016,21,5,2,100
5/20/2016,2016,21,5,1,100
5/20/2016,2016,21,5,1,100
5/20/2016,2016,21,5,2,100
5/20/2016,2016,21,5,6,100
5/20/2016,2016,21,5,5,100
5/20/2016,2016,21,5,2,100
5/20/2016,2016,21,5,1,100
5/20/2016,2016,21,5,0,100
5/20/2016,2016,21,5,0,100
5/19/2016,2016,21,5,1,100
5/19/2016,2016,21,5,2,100
5/19/2016,2016,21,5,2,100
5/19/2016,2016,21,5,2,100
5/19/2016,2016,21,5,6,100
5/19/2016,2016,21,5,7,100
5/19/2016,2016,21,5,4,100
5/19/2016,2016,21,5,2,100
5/19/2016,2016,21,5,1,100
5/19/2016,2016,21,5,0,100
5/19/2016,2016,21,5,0,100
5/18/2016,2016,21,5,-1,100
5/18/2016,2016,21,5,-1,100
5/18/2016,2016,21,5,-1,100
5/18/2016,2016,21,5,2,100
5/18/2016,2016,21,5,8,100
5/18/2016,2016,21,5,7,100
5/18/2016,2016,21,5,5,100
5/18/2016,2016,21,5,3,100
5/18/2016,2016,21,5,1,100
5/18/2016,2016,21,5,0,100
5/18/2016,2016,21,5,0,100
5/17/2016,2016,21,5,0,100
5/17/2016,2016,21,5,3,100
5/17/2016,2016,21,5,5,100
5/17/2016,2016,21,5,4,100
5/17/2016,2016,21,5,6,100
5/17/2016,2016,21,5,6,100
5/17/2016,2016,21,5,5,100
5/17/2016,2016,21,5,2,100
5/17/2016,2016,21,5,1,100
5/17/2016,2016,21,5,0,100
5/17/2016,2016,21,5,0,100
5/16/2016,2016,21,5,0,100
5/16/2016,2016,21,5,1,100
5/16/2016,2016,21,5,5,100
5/16/2016,2016,21,5,-1,100
5/16/2016,2016,21,5,-1,100
5/16/2016,2016,21,5,-1,100
5/16/2016,2016,21,5,-1,100
5/16/2016,2016,21,5,-1,100
5/16/2016,2016,21,5,0,100
5/16/2016,2016,21,5,0,100
5/16/2016,2016,21,5,0,100
5/15/2016,2016,21,5,1,100
5/15/2016,2016,21,5,3,100
5/15/2016,2016,21,5,2,100
5/15/2016,2016,21,5,6,100
5/15/2016,2016,21,5,5,100
5/15/2016,2016,21,5,6,100
5/15/2016,2016,21,5,5,100
5/15/2016,2016,21,5,3,100
5/15/2016,2016,21,5,1,100
5/15/2016,2016,21,5,0,100
5/15/2016,2016,21,5,0,100
5/28/2016,2016,22,5,4,100
5/28/2016,2016,22,5,5,100
5/28/2016,2016,22,5,5,100
5/28/2016,2016,22,5,5,100
5/28/2016,2016,22,5,3,100
5/28/2016,2016,22,5,3,100
5/28/2016,2016,22,5,1,100
5/28/2016,2016,22,5,0,100
5/28/2016,2016,22,5,0,100
5/28/2016,2016,22,5,0,100
5/27/2016,2016,22,5,1,100
5/27/2016,2016,22,5,4,100
5/27/2016,2016,22,5,7,100
5/27/2016,2016,22,5,7,100
5/27/2016,2016,22,5,8,100
5/27/2016,2016,22,5,6,100
5/27/2016,2016,22,5,4,100
5/27/2016,2016,22,5,2,100
5/27/2016,2016,22,5,1,100
5/27/2016,2016,22,5,0,100
5/27/2016,2016,22,5,0,100
5/26/2016,2016,22,5,3,100
5/26/2016,2016,22,5,5,100
5/26/2016,2016,22,5,6,100
5/26/2016,2016,22,5,5,100
5/26/2016,2016,22,5,3,100
5/26/2016,2016,22,5,4,100
5/26/2016,2016,22,5,3,100
5/26/2016,2016,22,5,1,100
5/26/2016,2016,22,5,0,100
5/26/2016,2016,22,5,0,100
5/26/2016,2016,22,5,0,100
5/25/2016,2016,22,5,2,100
5/25/2016,2016,22,5,4,100
5/25/2016,2016,22,5,4,100
5/25/2016,2016,22,5,6,100
5/25/2016,2016,22,5,4,100
5/25/2016,2016,22,5,5,100
5/25/2016,2016,22,5,4,100
5/25/2016,2016,22,5,3,100
5/25/2016,2016,22,5,1,100
5/25/2016,2016,22,5,0,100
5/25/2016,2016,22,5,0,100
5/24/2016,2016,22,5,2,100
5/24/2016,2016,22,5,3,100
5/24/2016,2016,22,5,5,100
5/24/2016,2016,22,5,6,100
5/24/2016,2016,22,5,3,100
5/24/2016,2016,22,5,3,100
5/24/2016,2016,22,5,3,100
5/24/2016,2016,22,5,2,100
5/24/2016,2016,22,5,0,100
5/24/2016,2016,22,5,0,100
5/24/2016,2016,22,5,0,100
5/23/2016,2016,22,5,2,100
5/23/2016,2016,22,5,5,100
5/23/2016,2016,22,5,6,100
5/23/2016,2016,22,5,7,100
5/23/2016,2016,22,5,6,100
5/23/2016,2016,22,5,5,100
5/23/2016,2016,22,5,4,100
5/23/2016,2016,22,5,3,100
5/23/2016,2016,22,5,1,100
5/23/2016,2016,22,5,0,100
5/23/2016,2016,22,5,0,100
5/22/2016,2016,22,5,2,100
5/22/2016,2016,22,5,2,100
5/22/2016,2016,22,5,7,100
5/22/2016,2016,22,5,6,100
5/22/2016,2016,22,5,7,100
5/22/2016,2016,22,5,6,100
5/22/2016,2016,22,5,4,100
5/22/2016,2016,22,5,2,100
5/22/2016,2016,22,5,0,100
5/22/2016,2016,22,5,0,100
5/22/2016,2016,22,5,0,100
6/4/2016,2016,23,6,1,100
6/4/2016,2016,23,6,1,100
6/4/2016,2016,23,6,1,100
6/4/2016,2016,23,6,1,100
6/4/2016,2016,23,6,1,100
6/4/2016,2016,23,6,1,100
6/4/2016,2016,23,6,0,100
6/4/2016,2016,23,6,0,100
6/4/2016,2016,23,6,0,100
