Date,denguecases,AveUVIndex,MinUVIndex,MaxUVIndex,PSI,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,Max_Humidity_Percentage, Mean_Humidity_Percentage, Min_Humidity_Percentage,regionId
3/11/2016,277,NULL,NULL,NULL,53.375,0.02,0.025,0.025,0.025,29.11666667,34.13333333,26.06666667,9.3,31.86666667,94,76,49,4
3/12/2016,250,NULL,NULL,NULL,50,0,0,0,0,28.8,32.6,25.71666667,10.61666667,31.51666667,89,75,54,4
3/13/2016,250,NULL,NULL,NULL,52.66666667,7.09,5.325,6.125,6.45,28.23333333,33.43333333,24.91666667,8.35,32.71666667,89,77,50,4
3/14/2016,250,NULL,NULL,NULL,51.875,1.18,1.025,1.15,1.375,28.63333333,33.6,26.1,7.483333333,31.56666667,89,77,59,4
3/15/2016,260,NULL,NULL,NULL,54.375,0,0,0,0,28.92,33.56666667,26.1,10.08333333,32.46666667,89,74,50,4
3/16/2016,264,NULL,NULL,NULL,55.70833333,0,0,0,0,28.56666667,33.85,24.91666667,7.733333333,24.28333333,89,71,43,4
3/17/2016,268,NULL,NULL,NULL,55.83333333,0,0,0,0,28.93333333,34.21666667,25.31666667,9.1,29.95,89,73,46,4
3/18/2016,270,NULL,NULL,NULL,57.875,0,0,0,0,28.75,33.58333333,25.5,8.4,26.63333333,89,73,48,4
3/19/2016,232,NULL,NULL,NULL,60.79166667,0,0,0,0,28.83333333,33.2,25.55,9.483333333,27.48333333,89,73,53,4
3/20/2016,232,NULL,NULL,NULL,61.54166667,2.85,2.8,2.85,2.875,28.85,32.68333333,26.25,7.5,23.33333333,84,74,51,4
3/21/2016,232,4,0,9,62.91666667,12.98,8.275,10.15,10.25,28.6,33.7,25.9,6.783333333,28.03333333,89,78,52,4
3/22/2016,233,2,0,5,61.75,0.68,0.75,0.8,0.8,28.38333333,32.65,26.23333333,7.033333333,32.05,94,81,58,4
3/23/2016,239,2,0,5,61.70833333,0,0,0,0,28.98333333,33.48333333,25.58333333,8.283333333,26.51666667,94,80,53,4
3/24/2016,246,3,0,7,58.54166667,3.16,3.675,3.925,3.95,29.15,33.66666667,25.95,7.8,28.26666667,89,74,54,4
3/25/2016,224,4,0,9,61.625,8.04,3.675,4.7,4.725,28.26666667,33.8,24.73333333,6.833333333,31.21666667,89,72,46,4
3/26/2016,224,4,0,7,58.83333333,0,0,0,0,28.8,32.63333333,25.7,10.98333333,35.01666667,84,67,45,4
3/27/2016,224,4,0,10,59.54166667,0,0,0,0,29.28333333,33.48333333,26.55,12.66666667,40.43333333,84,71,46,4
3/28/2016,224,4,0,9,62.625,0,0,0,0,29.45,33.55,26.43333333,12.96666667,37.5,84,69,43,4
3/29/2016,222,2,-1,9,67.04166667,0.16,0.175,0.2,0.2,29.08333333,33.36666667,26.26666667,12.06666667,35.81666667,84,70,47,4
3/30/2016,223,4,0,9,79.5,0,0,0,0,29.15,33.61666667,25.85,11.35,31.38333333,84,70,46,4
3/31/2016,188,5,0,10,73.04166667,0.16,0.125,0.15,0.2,29.2,33.08333333,26.6,11.2,31.56666667,84,70,44,4
4/1/2016,177,3,-1,10,76.20833333,0.02,0.025,0.025,0.025,29.51666667,34.45,26.38333333,10.61666667,31.8,84,70,44,4
4/2/2016,183,3,-1,9,61.16666667,0.5,0.625,0.625,0.625,29.6,34.88333333,25.86666667,8.766666667,29.83333333,89,71,45,4
4/3/2016,183,2,0,5,56.16666667,10.34,5.975,6.9,10.525,28.56666667,33.7,25.43333333,6.466666667,30.31666667,89,79,58,4
4/4/2016,183,3,0,7,54.375,0.72,0.875,0.9,0.9,29.18333333,33.65,26.13333333,7.633333333,28.38333333,94,79,58,4
4/5/2016,191,1,-1,6,53.45833333,0.92,0.8,0.95,1.075,28.85,33.01666667,26.46666667,7.016666667,28.68333333,89,79,60,4
4/6/2016,185,3,0,9,55,0.02,0.025,0.025,0.025,29.33333333,33.91666667,25.56666667,7.316666667,25.54,94,75,49,4
4/7/2016,176,2,-1,6,58.875,0.5,0.55,0.625,0.625,29.18333333,34.78333333,25.21666667,6.516666667,23.51666667,89,72,45,4
