Year,Month,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,LocationId
2016,3,1.2,0.903225806,1.141935484,1.187096774,NULL,NULL,NULL,NULL,NULL,28
2016,4,2.893333333,1.806666667,2.433333333,2.766666667,NULL,NULL,NULL,NULL,NULL,28
2016,5,6.161290323,4.664516129,5.55483871,5.896774194,NULL,NULL,NULL,NULL,NULL,28
2016,6,4.366666667,2.333333333,2.82,3.28,NULL,NULL,NULL,NULL,NULL,28
2016,7,6.774193548,4.819354839,5.290322581,5.851612903,NULL,NULL,NULL,NULL,NULL,28
2016,8,3.716129032,2.761290323,3.238709677,3.490322581,NULL,NULL,NULL,NULL,NULL,28
2016,1,4.387096774,2.393548387,2.987096774,3.335483871,NULL,NULL,NULL,NULL,NULL,30
2016,2,6.9,2.785714286,3.964285714,4.714285714,NULL,NULL,NULL,NULL,NULL,30
2016,3,1.967741935,1.632258065,1.793548387,1.84516129,NULL,NULL,NULL,NULL,NULL,30
2016,4,10.58666667,6.753333333,8.4,9.78,NULL,NULL,NULL,NULL,NULL,30
2016,5,7.322580645,4.967741935,6.135483871,6.619354839,NULL,NULL,NULL,NULL,NULL,30
2016,6,5.733333333,3.18,4.266666667,5.08,NULL,NULL,NULL,NULL,NULL,30
2016,7,7.935483871,5.348387097,6.348387097,6.987096774,NULL,NULL,NULL,NULL,NULL,30
2016,8,4.064516129,2.967741935,3.741935484,3.909677419,NULL,NULL,NULL,NULL,NULL,30
2016,1,4.722580645,NULL,NULL,NULL,27.93870968,32.04516129,24.91612903,10.23225806,34.80740741,33
2016,2,6.262068966,NULL,NULL,NULL,27.58275862,31.45862069,24.49655172,11.79655172,37.12222222,33
2016,3,4.287096774,NULL,NULL,NULL,28.64666667,33.13870968,25.31290323,12.21612903,34.69,33
2016,4,6.336666667,NULL,NULL,NULL,28.78928571,33.9,25.05666667,7.22,26.92413793,33
2016,5,7.551612903,NULL,NULL,NULL,28.44,33.56451613,24.70322581,7.119354839,32.8137931,33
2016,6,8.96,NULL,NULL,NULL,27.45333333,31.84333333,24.12333333,6.913333333,32.15333333,33
2016,7,6.638709677,NULL,NULL,NULL,27.79310345,32.1483871,24.09032258,7.541935484,35.01034483,33
2016,8,4.251612903,NULL,NULL,NULL,28.36451613,32.71612903,24.41935484,8.1,33.75909091,33
2016,1,2.703448276,1.793103448,2.186206897,2.303448276,NULL,NULL,NULL,NULL,NULL,34
2016,2,6.103448276,2.627586207,3.103448276,3.593103448,NULL,NULL,NULL,NULL,NULL,34
2016,3,1.258064516,0.948387097,1.090322581,1.122580645,NULL,NULL,NULL,NULL,NULL,34
2016,4,3.533333333,2.82,3.293333333,3.4,NULL,NULL,NULL,NULL,NULL,34
2016,5,6.819354839,4.896774194,5.819354839,6.490322581,NULL,NULL,NULL,NULL,NULL,34
2016,6,7.093333333,3.86,5.22,6.046666667,NULL,NULL,NULL,NULL,NULL,34
2016,7,7.296774194,5.438709677,6.24516129,6.683870968,NULL,NULL,NULL,NULL,NULL,34
2016,8,5.032258065,3.161290323,3.903225806,4.070967742,NULL,NULL,NULL,NULL,NULL,34
2016,1,2.787096774,1.696774194,2.096774194,2.380645161,NULL,NULL,NULL,NULL,NULL,36
2016,2,5.04137931,1.510344828,2.020689655,2.820689655,NULL,NULL,NULL,NULL,NULL,36
2016,3,0.922580645,0.64516129,0.916129032,0.916129032,NULL,NULL,NULL,NULL,NULL,36
2016,4,3.786666667,2.86,3.353333333,3.493333333,NULL,NULL,NULL,NULL,NULL,36
2016,5,4.748387097,2.870967742,3.703225806,4.458064516,NULL,NULL,NULL,NULL,NULL,36
2016,6,3.7625,2.4625,3.125,3.6,NULL,NULL,NULL,NULL,NULL,36
2016,1,5.129032258,3.264516129,4.122580645,4.509677419,NULL,NULL,NULL,NULL,NULL,38
2016,2,6.620689655,2.448275862,3.110344828,3.793103448,NULL,NULL,NULL,NULL,NULL,38
2016,3,1.716129032,0.870967742,1.258064516,1.632258065,NULL,NULL,NULL,NULL,NULL,38
2016,4,6.146666667,4.673333333,5.36,5.86,NULL,NULL,NULL,NULL,NULL,38
2016,5,7.993548387,5.070967742,6.303225806,7.535483871,NULL,NULL,NULL,NULL,NULL,38
2016,6,4.613333333,2.633333333,3.233333333,3.826666667,NULL,NULL,NULL,NULL,NULL,38
2016,7,6.225806452,3.787096774,4.625806452,5.187096774,NULL,NULL,NULL,NULL,NULL,38
2016,8,5.025806452,3.709677419,4.529032258,4.84516129,NULL,NULL,NULL,NULL,NULL,38
2016,1,8.909677419,5.890322581,6.748387097,7.419354839,NULL,NULL,NULL,NULL,NULL,39
2016,2,5.075862069,2.351724138,2.786206897,3.110344828,NULL,NULL,NULL,NULL,NULL,39
2016,3,4.75483871,3.04516129,3.993548387,4.219354839,NULL,NULL,NULL,NULL,NULL,39
2016,4,9.513333333,6.18,7.726666667,8.38,NULL,NULL,NULL,NULL,NULL,39
2016,5,9.4,6.587096774,7.716129032,8.548387097,NULL,NULL,NULL,NULL,NULL,39
2016,6,11.50666667,4.12,5.48,7.386666667,NULL,NULL,NULL,NULL,NULL,39
2016,7,9.451612903,5.103225806,6.993548387,8.277419355,NULL,NULL,NULL,NULL,NULL,39
2016,8,3.077419355,2.032258065,2.55483871,2.909677419,NULL,NULL,NULL,NULL,NULL,39
2016,1,4.838709677,2.709677419,3.851612903,4.206451613,NULL,NULL,NULL,NULL,NULL,41
2016,2,6.027586207,2.496551724,3.517241379,4.117241379,NULL,NULL,NULL,NULL,NULL,41
2016,3,2.296774194,1.4,1.75483871,1.967741935,NULL,NULL,NULL,NULL,NULL,41
2016,4,6.486666667,4.573333333,5.9,6.353333333,NULL,NULL,NULL,NULL,NULL,41
2016,5,9.2,5.877419355,7.451612903,8.780645161,NULL,NULL,NULL,NULL,NULL,41
2016,6,8.54,5.193333333,7.006666667,7.926666667,NULL,NULL,NULL,NULL,NULL,41
2016,7,6.629032258,4.693548387,5.822580645,6.25483871,NULL,NULL,NULL,NULL,NULL,41
2016,8,4.174193548,3.096774194,3.848387097,4.016129032,NULL,NULL,NULL,NULL,NULL,41
2016,1,6.993548387,4.974193548,5.812903226,6.109677419,28.00967742,29.99032258,26.03870968,15.61935484,50.58064516,45
2016,2,4.179310345,1.062068966,1.6,2.034482759,27.81724138,29.78275862,26.22068966,18.40689655,51.75172414,45
2016,3,2.141935484,1.451612903,1.883870968,2.096774194,28.83548387,30.90967742,27.22903226,17.30645161,44.81290323,45
2016,4,1.96,1.54,1.713333333,1.74,29.53333333,31.50333333,27.88666667,17.91333333,44.95333333,45
2016,5,2.967741935,1.870967742,2.24516129,2.567741935,29.53225806,31.48387097,27.57419355,19.48709677,50.40645161,45
2016,6,5.113333333,2.633333333,3.653333333,4.533333333,28.98333333,30.46,27.02,19.98666667,52.14666667,45
2016,7,6.441935484,3.2,3.622580645,4.435483871,28.7,30.40967742,26.53548387,19.30967742,53.73225806,45
2016,8,3.438709677,1.941935484,2.729032258,3.277419355,28.99354839,30.36774194,27.09032258,22.31935484,52.45806452,45
2016,1,3.477419355,1.941935484,2.632258065,3.064516129,27.60967742,31.71612903,24.93225806,10.03225806,31.58709677,46
2016,2,6.434482759,2.393103448,3.144827586,4.131034483,27.25517241,30.77586207,24.66206897,11.1862069,34.33793103,46
2016,3,0.961290323,0.735483871,0.812903226,0.819354839,28.1,32.56774194,25.11612903,10.46774194,31.95806452,46
2016,4,1.3,1.04,1.226666667,1.26,28.69333333,34.23333333,25.55,9.506666667,30.40333333,46
2016,5,4.690322581,3.490322581,3.961290323,4.348387097,28.49032258,33.86129032,25.43870968,9.422580645,29.62903226,46
2016,6,7.853333333,4.76,6.106666667,6.926666667,27.64814815,32.39,24.89666667,8.746666667,29.63666667,46
2016,7,10.75,6.708333333,8.283333333,9.05,27.72608696,32.38333333,24.64583333,8.658333333,30.89166667,46
2016,8,5.104,3.752,4.688,4.944,28.16875,32.95416667,25.03333333,8.64,31.94,46
2016,1,3.2,1.535483871,2.258064516,2.587096774,28.42258065,31.03870968,26.5,8.687096774,35.34516129,47
2016,2,5.082758621,1.524137931,2.275862069,2.696551724,28.01724138,30.42758621,26.19655172,11.1862069,40.19655172,47
2016,3,0.696774194,0.412903226,0.612903226,0.683870968,28.8483871,31.63870968,27.01290323,10.5483871,37.51935484,47
2016,4,4.286666667,2.873333333,3.746666667,3.9,29.36666667,31.53,27.07,9.036666667,32.99,47
2016,5,4.909677419,2.709677419,3.258064516,3.935483871,29.44516129,31.41290323,27.12580645,9.667741935,34.85806452,47
2016,6,2.5,1.413333333,1.826666667,2.026666667,28.97666667,30.52666667,26.97,10.87,38.98666667,47
2016,7,5.116129032,2.329032258,3.567741935,4.458064516,28.75483871,30.47741935,26.59677419,11.24193548,35.36451613,47
2016,8,3.619354839,2.670967742,3.2,3.464516129,29.10322581,30.53548387,26.78709677,14.59677419,39.04516129,47
2016,1,4.52,2.746666667,3.226666667,3.62,28.62580645,32.44516129,26.37096774,8.270967742,32.64193548,48
2016,2,6.292857143,2.842857143,3.342857143,3.771428571,28.15172414,31.54827586,25.93448276,11.34827586,35.55172414,48
2016,3,0.896774194,0.612903226,0.806451613,0.890322581,29.30645161,33.12258065,27.09677419,9.809677419,31.10322581,48
2016,4,2.2,1.566666667,1.993333333,2.093333333,29.99333333,34.04333333,27.37666667,6.246666667,27.24666667,48
2016,5,6.683870968,5.322580645,6.129032258,6.464516129,29.98387097,33.8,26.92903226,6.338709677,30.70322581,48
2016,6,4.86,2.693333333,3.293333333,4.033333333,29.16666667,32.44,26.60666667,7.576666667,32.30333333,48
2016,7,6.677419355,3.367741935,4.083870968,4.729032258,29.02903226,32.63548387,26.21290323,9.074193548,35.81935484,48
2016,8,3.129032258,2.103225806,2.470967742,2.922580645,29.47419355,32.66451613,26.87741935,10.13548387,34.37096774,48
2016,1,6.233333333,4.366666667,4.753333333,5.633333333,NULL,NULL,NULL,NULL,NULL,49
