WW,denguecases,AveUVIndex,MinUVIndex,MaxUVIndex,PSI,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,Max_Humidity_Percentage, Mean_Humidity_Percentage, Min_Humidity_Percentage,regionId
14,239,4,0,9,62.76190476,0.076190476,0.076190476,0.076190476,0.076190476,28.92857143,32.92857143,26.44285714,7.864285714,35.70714286,84.71428571,70.14285714,45,3
15,274,2,0,7,55.33928571,6.304761905,3.471428571,4.204761905,5.623809524,28.45,33.04285714,25.72142857,6.228571429,29.95,91.14285714,76.28571429,53.42857143,3
16,256,3,0,7,60.39285714,5.004761905,4.233333333,4.714285714,4.938095238,29.19285714,33,26.33571429,5.728571429,30.12142857,89.71428571,75.85714286,51.71428571,3
17,168,3,0,8,57.41071429,9.461904762,6.733333333,8.333333333,8.833333333,29.23571429,33.67857143,26.17857143,6.192857143,32.9,88.28571429,73.57142857,50.57142857,3
18,173,2,0,6,55.07142857,7.352380952,5.785714286,6.733333333,7.038095238,28.50714286,32.50714286,25.97142857,5.307142857,27.37142857,94.85714286,79.28571429,56.57142857,3
19,184,3,0,8,50.95238095,5.004761905,3.957142857,4.628571429,4.961904762,29.32142857,33.95714286,26.78571429,5.407142857,28.23571429,89,74.85714286,51,3
20,108,3,0,7,50.69642857,12.46666667,8.392857143,10.47857143,11.88095238,28.73571429,32.89285714,25.95,4.878571429,28.99285714,90.42857143,77.28571429,53.85714286,3
21,119,2,0,6,53.17261905,7.980952381,5.4,6.228571429,6.976190476,28.45,32.45,25.89285714,5.278571429,29.75,95.85714286,80.71428571,58.71428571,3
22,124,3,0,6,41.79166667,7.276190476,4.347619048,5.571428571,6.404761905,28.92857143,32.59285714,25.82142857,6.521428571,32.91428571,92.71428571,77.28571429,59.14285714,3
23,115,2,0,5,54.11904762,3.738095238,2.485714286,3.185714286,3.438095238,28.08571429,31.8,25.49285714,4.835714286,30.63571429,91.14285714,78.42857143,57.71428571,3
24,107,2,0,6,55.17261905,7.652380952,5.457142857,6.6,7.023809524,28.32857143,31.9,25.5,5.435714286,29.16428571,91.85714286,78.85714286,56.71428571,3
25,100,3,0,6,41.53571429,14.14285714,5.638095238,7.419047619,9.528571429,27.72857143,31,24.92142857,5.742857143,30.03571429,93.42857143,80.28571429,61.42857143,3
26,131,2,0,5,50.19047619,6.919047619,3.161904762,4.261904762,5.766666667,27.86428571,31.03571429,25.2,5.807142857,28.32857143,92,76.57142857,57,3
27,100,3,0,6,45.94047619,0.057142857,0.057142857,0.057142857,0.057142857,29.43571429,32.71428571,27.54285714,7.05,26.48571429,86.85714286,73,53.57142857,3
28,114,3,0,7,45.375,4.642857143,2.671428571,3.533333333,4.471428571,29.11428571,32.35714286,26.37142857,7.628571429,29.54285714,86.14285714,72.71428571,51.71428571,3
29,120,2,0,5,43.01785714,8.371428571,5.485714286,7.2,8.023809524,27.89285714,31.17857143,25.12857143,5.985714286,32.06428571,89.71428571,77.71428571,58.42857143,3
30,161,2,0,6,52.4702381,14.95238095,7.495238095,9.957142857,11.46666667,26.80714286,30.82857143,23.91428571,5.75,28.41428571,96.85714286,82.57142857,61.28571429,3
31,197,3,0,6,47.43452381,6.461904762,4.847619048,5.814285714,5.985714286,27.40714286,30.65,24.53571429,5.95,28.92142857,90.42857143,76.85714286,59.14285714,3
32,155,3,0,7,49.27380952,3.966666667,2.873333333,3.513333333,3.913333333,27.925,31.1,25.475,7.9125,36.375,88.42857143,75.42857143,54.57142857,3
33,168,3,0,7,55.05952381,1.096296296,1.059259259,1.088888889,1.096296296,28.96,31.68,27.2,8.333333333,37.01666667,86.85714286,73.28571429,53.85714286,3
34,173,3,0,8,46.26190476,5.99047619,4.876190476,5.657142857,5.771428571,NULL,NULL,NULL,NULL,NULL,86.85714286,72.57142857,52.85714286,3
35,207,2,0,6,52.02380952,6.857142857,4.161904762,5.666666667,6.533333333,NULL,NULL,NULL,NULL,NULL,92.28571429,73.85714286,51.57142857,3
36,NULL,2,0,5,62,1.616666667,0.866666667,1.05,1.116666667,NULL,NULL,NULL,NULL,NULL,92.57142857,77,56.42857143,3
37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88.28571429,77.14285714,57.42857143,3
38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,76.42857143,56.57142857,3
39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,72.42857143,45.85714286,3
