
SGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-6-17,33,30,27,25,23,21,89,65,49,1007,1005,1003,10,4,1,13,6,,0.00,6,,257<br />
2013-6-18,35,31,27,24,22,18,84,58,38,1007,1005,1003,7,4,3,16,8,,0.00,6,,244<br />
2013-6-19,35,31,27,23,21,17,79,53,34,1008,1006,1003,8,2,1,21,10,,0.00,6,,240<br />
2013-6-20,34,30,27,25,21,16,89,58,34,1009,1007,1005,10,1,1,16,6,,0.00,6,,242<br />
2013-6-21,35,31,27,24,21,18,84,60,38,1009,1008,1006,7,2,1,16,6,,0.00,6,,232<br />
2013-6-22,36,32,28,25,21,16,84,55,32,1009,1007,1005,10,4,0,19,6,,0.00,6,,243<br />
2013-6-23,35,31,27,25,21,16,89,57,34,1009,1007,1005,8,6,3,13,5,,0.00,6,,225<br />
2013-6-24,35,32,29,26,24,22,84,68,47,1011,1009,1007,10,7,4,13,8,,0.00,6,Rain-Thunderstorm,101<br />
2013-6-25,33,30,27,26,23,20,89,69,55,1011,1010,1009,10,7,4,21,8,,0.00,6,Rain-Thunderstorm,45<br />
2013-6-26,30,28,25,26,24,23,89,79,66,1013,1011,1008,7,5,3,21,5,,0.00,6,Rain-Thunderstorm,355<br />
2013-6-27,34,30,26,25,23,21,89,67,46,1012,1010,1008,8,6,3,13,6,,0.00,6,Thunderstorm,251<br />
2013-6-28,34,30,26,25,23,21,89,70,46,1011,1009,1007,10,7,3,19,6,,0.00,5,Rain-Thunderstorm,229<br />
2013-6-29,33,30,27,26,24,23,89,72,55,1011,1009,1007,7,5,2,13,6,,0.00,6,Rain-Thunderstorm,221<br />
2013-6-30,30,28,25,26,24,22,94,81,66,1012,1009,1006,10,8,3,23,6,,0.00,5,Rain-Thunderstorm,239<br />
2013-7-1,33,29,26,25,24,23,94,72,59,1009,1007,1005,10,9,5,19,6,,0.00,6,Thunderstorm,237<br />
2013-7-2,32,29,26,25,24,23,89,77,62,1010,1008,1006,10,8,5,26,8,,0.00,5,Rain-Thunderstorm,208<br />
2013-7-3,33,29,26,24,23,21,89,70,52,1010,1008,1005,10,9,6,16,6,,0.00,6,Thunderstorm,246<br />
2013-7-4,31,28,25,25,24,23,89,83,66,1010,1007,1005,10,7,4,14,5,,0.00,5,Rain-Thunderstorm,247<br />
2013-7-5,31,28,25,25,24,22,89,79,58,1010,1008,1006,10,10,8,11,8,,0.00,6,Rain,248<br />
2013-7-6,33,29,26,25,23,20,89,67,49,1010,1008,1007,10,10,10,23,10,,0.00,6,,163<br />
2013-7-7,33,30,27,25,23,22,89,68,52,1010,1008,1007,10,10,10,24,10,,0.00,6,,153<br />
2013-7-8,34,30,26,25,24,23,94,76,52,1010,1008,1007,10,8,1,32,10,,0.00,5,Rain-Thunderstorm,99<br />
2013-7-9,29,27,24,25,24,23,94,86,74,1011,1009,1008,10,8,3,23,11,,0.00,5,Rain-Thunderstorm,201<br />
2013-7-10,33,29,26,24,23,20,89,68,46,1010,1008,1006,10,10,10,19,10,,0.00,6,,190<br />
2013-7-11,32,28,24,25,24,22,94,80,59,1010,1009,1007,10,9,1,27,8,,0.00,5,Rain-Thunderstorm,335<br />
2013-7-12,32,28,25,25,24,22,94,79,59,1010,1008,1006,10,8,5,19,6,27,0.00,5,Rain-Thunderstorm,305<br />
2013-7-13,31,28,26,24,23,22,83,72,62,1010,1008,1006,10,10,8,14,6,,0.00,6,,241<br />
2013-7-14,30,28,25,24,23,22,89,75,66,1010,1008,1007,10,9,7,21,6,,0.00,6,Rain,223<br />
2013-7-15,32,28,25,24,22,20,89,70,52,1009,1008,1007,10,10,10,19,11,,0.00,6,Rain,198<br />
2013-7-16,32,28,25,25,24,23,94,80,59,1011,1008,1007,10,9,4,19,5,,0.00,5,Rain-Thunderstorm,76<br />
